Date,SPY,TLT,MSFT
7-5-2007,123.471237,60.385864,23.461525
7-6-2007,124.120361,60.140911,23.445875
7-9-2007,124.21769,60.357037,23.367645
7-10-2007,122.448944,61.380039,22.945192
7-11-2007,123.31707,60.746059,23.070366
7-12-2007,125.264336,60.537128,23.524107
7-13-2007,125.63755,60.702816,23.328526
7-16-2007,125.621338,61.286396,23.492811
7-17-2007,125.556389,61.156685,24.079546
7-18-2007,125.329216,61.387203,24.18907
7-19-2007,125.816032,61.372807,24.650635
7-20-2007,124.542206,61.927525,24.376825
7-23-2007,124.923553,61.826717,24.400297
7-24-2007,122.757248,62.057217,24.095196
7-25-2007,123.008774,62.179657,24.024784
7-26-2007,120.096031,62.69841,23.453701
7-27-2007,117.73497,62.878521,22.992138
7-30-2007,119.576736,62.69841,22.999956
7-31-2007,118.229897,63.152264,22.679209
8-1-2007,118.805984,63.015583,22.921722
8-2-2007,119.755241,63.17469,23.093838
8-3-2007,116.672119,63.594128,22.655743
8-6-2007,118.627495,63.13129,23.10948
8-7-2007,119.893166,63.080654,23.117304
8-8-2007,121.564552,62.314003,23.469347
8-9-2007,117.962166,62.400833,22.921722
8-10-2007,117.410469,62.256176,22.460159
8-13-2007,117.832344,62.43697,22.397579
8-14-2007,116.031151,62.603325,22.193468
8-15-2007,114.432793,62.379158,22.060005
8-16-2007,115.29277,63.0228,21.832336
8-17-2007,117.410469,62.769669,22.177763
8-20-2007,117.353676,62.805782,22.185616
8-21-2007,117.588951,63.109615,22.036455
8-22-2007,118.984489,63.008366,22.154209
8-23-2007,118.879036,63.22533,22.217016
8-24-2007,120.347565,63.536297,22.617392
8-27-2007,119.227905,63.86898,22.366177
8-28-2007,116.607216,63.977467,21.926554
8-29-2007,118.895233,63.803875,22.444681
8-30-2007,118.578766,64.230598,22.334776
8-31-2007,119.747124,64.281219,22.554594
9-4-2007,120.956024,64.311691,22.617392
9-5-2007,119.909386,64.827316,22.358326
9-6-2007,120.185287,64.660332,22.695902
9-7-2007,118.513863,65.57534,22.32692
9-10-2007,118.286705,66.083626,22.358326
9-11-2007,119.666016,66.032806,22.711594
9-12-2007,119.974289,65.785896,22.711594
9-13-2007,120.818115,65.197662,22.892166
9-14-2007,120.810013,65.292091,22.79796
9-17-2007,120.160942,65.604347,22.554594
9-18-2007,123.69841,65.110542,22.711594
9-19-2007,124.428635,64.507797,22.507486
9-20-2007,123.552368,63.287788,22.311218
9-21-2007,123.885811,63.82518,22.491787
9-24-2007,123.657516,64.006744,22.829357
9-25-2007,123.412979,63.781593,23.206182
9-26-2007,124.065117,63.839684,23.159077
9-27-2007,124.798798,64.282715,23.151232
9-28-2007,124.383072,64.42794,23.127682
10-1-2007,125.785217,64.796059,23.37104
10-2-2007,125.614006,65.000229,23.316095
10-3-2007,125.361305,64.810646,23.119831
10-4-2007,125.556946,65.058556,23.323938
10-5-2007,127.048729,64.358627,23.426004
10-8-2007,126.372139,64.307625,23.426004
10-9-2007,127.562286,64.22747,23.63011
10-10-2007,127.35038,64.263931,23.732174
10-11-2007,126.738953,64.198273,23.480953
10-12-2007,127.440048,63.884823,23.68507
10-15-2007,126.363983,63.89938,23.583008
10-16-2007,125.361305,63.921276,23.802826
10-17-2007,125.744415,64.621124,24.399464
10-18-2007,125.287926,64.978333,24.462261
10-19-2007,122.010864,65.947952,23.68507
10-22-2007,122.720085,65.955238,23.951984
10-23-2007,123.714577,65.86776,24.258152
10-24-2007,123.486336,66.356186,24.532921
10-25-2007,123.779823,66.130234,25.113865
10-26-2007,125.230827,65.977104,27.500423
10-29-2007,125.646591,66.232246,27.139299
10-30-2007,124.774361,66.195869,27.924355
10-31-2007,126.070541,65.597984,28.897827
11-1-2007,123.119492,66.450371,29.094082
11-2-2007,123.258087,66.662704,29.094082
11-5-2007,122.320618,66.633385,28.835012
11-6-2007,123.967308,66.311226,28.583805
11-7-2007,120.576088,66.428383,27.885101
11-8-2007,119.964699,66.311226,27.272762
11-9-2007,118.317986,66.875061,26.479855
11-12-2007,117.144089,67.116669,26.20509
11-13-2007,120.714653,66.867676,27.142391
11-14-2007,120.380394,66.940918,26.724937
11-15-2007,118.644035,67.570641,26.591032
11-16-2007,118.84787,67.665848,26.850965
11-19-2007,117.193001,68.105194,26.748566
11-20-2007,117.910362,68.031975,27.236906
11-21-2007,115.497368,68.427383,26.961231
11-23-2007,117.494621,68.632431,26.866716
11-26-2007,114.902298,69.987022,25.968792
11-27-2007,116.222939,69.320717,26.039682
11-28-2007,119.940208,68.852097,26.543777
11-29-2007,119.980942,69.445129,26.457134
11-30-2007,121.187439,69.108315,26.465017
12-3-2007,120.38855,69.656822,25.929407
12-4-2007,119.312531,69.649452,25.811264
12-5-2007,121.309715,68.818726,26.898214
12-6-2007,123.046135,68.215874,27.213278
12-7-2007,123.021652,67.451294,27.197525
12-10-2007,123.975441,67.046928,27.378679
12-11-2007,120.576088,68.362885,26.858829
12-12-2007,121.766197,67.65715,27.150269
12-13-2007,121.513565,66.921967,27.741003
12-14-2007,119.972855,66.613243,27.811903
12-17-2007,118.260864,67.208694,27.087257
12-18-2007,118.921234,67.642464,27.362934
12-19-2007,118.921234,68.539337,27.402309
12-20-2007,119.671219,68.392342,27.977295
12-21-2007,121.396355,67.392479,28.402626
12-24-2007,122.297783,67.076332,28.812208
12-26-2007,122.559998,66.488243,28.835835
12-27-2007,121.019302,67.213058,28.331738
12-28-2007,120.716118,68.261192,28.449886
12-31-2007,119.822838,68.674515,28.040306
1-2-2008,118.773804,69.663605,27.741003
1-3-2008,118.716469,69.567635,27.859146
1-4-2008,115.807114,69.582451,27.079384
1-7-2008,115.708786,69.885048,27.260536
1-8-2008,113.840302,69.803871,26.346867
1-9-2008,115.036781,69.936737,27.126637
1-10-2008,115.790749,68.991928,27.039995
1-11-2008,114.856483,69.530777,26.709187
1-14-2008,115.782593,69.789063,27.087257
1-15-2008,113.233826,70.571526,26.780073
1-16-2008,112.258591,70.06221,26.17358
1-17-2008,109.349281,70.970108,26.079062
1-18-2008,108.226532,70.482941,26.00029
